net.(*TCPListener).accept(0xc00013a0a8, 0xc0004be000, 0x7fc64586fb28, 0x0)
	/usr/local/go/src/net/tcpsock_posix.go:139 +0x32
net.(*TCPListener).AcceptTCP(0xc00013a0a8, 0x40dc28, 0x30, 0x28e9c20)
	/usr/local/go/src/net/tcpsock.go:247 +0x48
net/http.tcpKeepAliveListener.Accept(0xc00013a0a8, 0x28e9c20, 0xc00016e270, 0x263e080, 0x4c9df30)
	/usr/local/go/src/net/http/server.go:3264 +0x2f
net/http.(*Server).Serve(0xc0001729c0, 0x2ff5480, 0xc00013a0a8, 0x0, 0x0)
	/usr/local/go/src/net/http/server.go:2859 +0x22d
net/http.(*Server).ListenAndServe(0xc0001729c0, 0xc0001729c0, 0xd)
	/usr/local/go/src/net/http/server.go:2797 +0xe4
net/http.ListenAndServe(...)
	/usr/local/go/src/net/http/server.go:3037
main.main.func1(0xc00038c000)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/main.go:359 +0x10d
created by main.main
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/main.go:356 +0x258

goroutine 181 [select]:
k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/client-go/tools/cache.(*Reflector).ListAndWatch.func2(0xc00022e460, 0xc0000bc360, 0xc000d820c0, 0xc000a88c60)
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/client-go/tools/cache/reflector.go:235 +0x150
created by k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/client-go/tools/cache.(*Reflector).ListAndWatch
	/gopath/src/k8s.io/autoscaler/cluster-autoscaler/vendor/k8s.io/client-go/tools/cache/reflector.go:229 +0x246

goroutine 71 [IO wait]:
internal/poll.runtime_pollWait(0x7fc64581af60, 0x72, 0xffffffffffffffff)
	/usr/local/go/src/runtime/netpoll.go:182 +0x56
internal/poll.(*pollDesc).wait(0xc00035c918, 0x72, 0x10800, 0x10868, 0xffffffffffffffff)
	/usr/local/go/src/internal/poll/fd_poll_runtime.go:87 +0x9b
internal/poll.(*pollDesc).waitRead(...)
	/usr/local/go/src/internal/poll/fd_poll_runtime.go:92
